iter	MultiClass	Accuracy
0	1.098487941	0.4717731248
1	1.098382623	0.4749536178
2	1.09824431	0.4752186589
3	1.098123905	0.472303207
4	1.097986089	0.4733633713
5	1.0978854	0.4696527962
6	1.097775494	0.4699178373
7	1.097649268	0.4693877551
8	1.097532825	0.4683275908
9	1.097418941	0.4677975086
10	1.097295854	0.4675324675
11	1.097163449	0.4677975086
12	1.097047413	0.4675324675
13	1.096910132	0.4677975086
14	1.096783824	0.4675324675
15	1.09667512	0.4672674265
16	1.096574657	0.4675324675
17	1.096445233	0.4672674265
18	1.096325221	0.4672674265
19	1.096201592	0.4670023854
20	1.096084719	0.4670023854
21	1.095972559	0.4670023854
22	1.095860276	0.4672674265
23	1.095754377	0.4672674265
24	1.095627311	0.4670023854
25	1.095503546	0.4670023854
26	1.095375613	0.4670023854
27	1.095253139	0.4672674265
28	1.095117912	0.4672674265
29	1.095000155	0.4670023854
30	1.094888158	0.4670023854
31	1.094781067	0.4670023854
32	1.094664892	0.4670023854
33	1.094550054	0.4670023854
34	1.094459524	0.4670023854
35	1.09433861	0.4670023854
36	1.094222812	0.4670023854
37	1.094119122	0.4670023854
38	1.094000498	0.4670023854
39	1.093889579	0.4670023854
40	1.093757841	0.4670023854
41	1.093642529	0.4670023854
42	1.093527486	0.4670023854
43	1.093404636	0.4670023854
44	1.093288485	0.4670023854
45	1.093180406	0.4670023854
46	1.093054587	0.4670023854
47	1.092949064	0.4670023854
48	1.092814562	0.4670023854
49	1.092708235	0.4670023854
50	1.092585336	0.4670023854
51	1.09245704	0.4670023854
52	1.092363625	0.4670023854
53	1.092243686	0.4670023854
54	1.092119505	0.4670023854
55	1.092002318	0.4670023854
56	1.091899148	0.4670023854
57	1.091791157	0.4670023854
58	1.091685189	0.4670023854
59	1.091569201	0.4670023854
60	1.091463318	0.4670023854
61	1.091353924	0.4670023854
62	1.09125755	0.4670023854
63	1.091142383	0.4670023854
64	1.091034519	0.4670023854
65	1.090948539	0.4670023854
66	1.090831408	0.4670023854
67	1.090718404	0.4670023854
68	1.090602754	0.4670023854
69	1.090504725	0.4670023854
70	1.090388032	0.4670023854
