iter	Passed	Remaining
0	4	45751
1	8	42475
2	12	42285
3	16	40637
4	20	40422
5	23	39332
6	27	38667
7	31	38935
8	34	38488
9	38	38228
10	42	38532
11	46	38299
12	49	37979
13	52	37780
14	56	37644
15	61	38075
16	64	38092
17	68	38007
18	72	37959
19	75	37910
20	79	37998
21	83	37817
22	86	37721
23	90	37564
24	94	37615
25	98	37631
26	102	37701
27	105	37649
28	109	37589
29	112	37451
30	116	37430
31	120	37437
32	124	37472
33	127	37461
34	130	37061
35	133	37049
36	137	36995
37	141	36972
38	145	37113
39	149	37195
40	152	37128
41	156	37095
42	160	37119
43	163	37064
44	166	36925
45	170	36983
46	174	37023
47	178	37037
48	182	37090
49	186	37074
50	190	37069
51	193	37104
52	197	37045
53	201	37110
54	205	37084
55	211	37532
56	214	37490
57	218	37438
58	222	37421
59	226	37443
60	229	37396
61	232	37332
62	236	37327
63	239	37246
64	243	37284
65	246	37066
66	249	37018
67	252	36931
68	256	36925
69	259	36880
70	263	36831
71	265	36574
72	269	36613
73	273	36666
74	277	36693
75	281	36706
76	284	36689
77	288	36670
78	292	36719
79	296	36762
80	300	36746
81	304	36782
82	307	36750
83	310	36710
84	315	36790
85	319	36818
86	322	36802
87	326	36828
88	330	36796
89	333	36756
90	335	36548
91	339	36543
92	343	36578
93	346	36523
94	349	36475
95	353	36443
96	356	36424
97	357	36136
98	361	36135
99	363	36013
100	367	36021
101	369	35885
102	374	35971
103	378	35981
104	381	35958
105	383	35772
106	386	35778
107	390	35784
108	394	35806
109	398	35840
110	402	35898
111	406	35898
112	410	35922
113	414	35980
114	418	36002
115	422	35999
116	426	35984
117	430	36016
118	433	36008
119	437	35992
120	441	36008
121	444	35997
122	448	35979
123	449	35835
124	453	35820
125	455	35719
126	459	35704
127	462	35705
128	466	35685
129	469	35665
130	473	35672
131	477	35667
132	480	35671
133	484	35672
134	488	35663
135	492	35707
136	495	35697
137	499	35679
138	503	35715
139	507	35723
140	510	35701
141	514	35704
142	517	35650
143	521	35669
144	525	35705
145	528	35682
146	533	35740
147	536	35727
148	539	35670
149	543	35663
150	546	35648
151	549	35632
152	553	35642
153	557	35667
154	561	35657
155	565	35654
156	568	35625
157	571	35617
158	576	35657
159	579	35646
160	583	35647
161	587	35679
162	591	35681
163	593	35620
164	598	35661
165	602	35669
166	605	35679
167	609	35684
168	613	35680
169	616	35667
170	620	35678
171	624	35666
172	627	35654
173	632	35704
174	635	35687
175	639	35707
176	642	35683
177	646	35663
178	650	35670
179	654	35704
180	657	35691
181	661	35681
182	664	35666
183	668	35648
184	671	35645
185	675	35649
186	679	35651
187	682	35645
188	686	35645
189	691	35688
190	694	35684
191	699	35708
192	702	35706
193	706	35732
194	710	35721
195	713	35714
196	714	35569
197	718	35587
198	722	35579
199	725	35567
200	729	35569
201	733	35567
202	736	35558
203	740	35552
204	743	35546
205	747	35549
206	751	35543
207	755	35580
208	760	35611
209	763	35601
210	765	35516
211	769	35504
212	772	35507
213	776	35511
214	779	35498
215	783	35486
216	786	35477
217	787	35351
218	791	35345
219	794	35338
220	798	35337
221	802	35361
222	806	35370
223	810	35369
224	814	35366
225	817	35351
226	821	35356
227	825	35373
228	826	35253
229	829	35242
230	833	35227
231	837	35243
232	840	35238
233	844	35226
234	847	35226
235	851	35225
236	854	35213
237	858	35210
238	861	35193
239	865	35189
240	869	35190
241	872	35199
242	874	35102
243	877	35096
244	881	35093
245	886	35147
246	890	35144
247	891	35051
248	894	35035
249	898	35027
250	902	35053
251	906	35059
252	910	35076
253	912	35015
254	916	35037
255	920	35041
256	924	35052
257	926	34982
258	930	34981
259	934	35007
260	938	35029
261	942	35017
262	945	35013
263	949	35015
264	953	35021
265	957	35030
266	960	35013
267	964	35009
268	967	35003
269	971	35005
270	975	35018
271	978	35009
272	982	34993
273	985	34998
274	990	35020
275	994	35022
276	994	34922
277	998	34909
278	1002	34914
279	1005	34913
280	1009	34927
281	1011	34859
282	1015	34855
283	1019	34868
284	1022	34865
285	1026	34849
286	1030	34881
287	1034	34889
288	1038	34897
289	1043	34943
290	1048	34967
291	1051	34974
292	1055	34981
293	1059	34991
294	1063	34997
295	1067	35005
296	1071	35017
297	1075	35027
298	1080	35058
299	1085	35083
300	1089	35096
301	1093	35113
302	1097	35118
303	1100	35110
304	1105	35128
305	1108	35125
306	1112	35135
307	1116	35138
308	1120	35143
309	1121	35067
310	1125	35071
311	1129	35063
312	1132	35061
313	1136	35061
314	1140	35068
315	1144	35066
316	1147	35057
317	1152	35075
318	1155	35074
319	1159	35076
320	1163	35079
321	1167	35090
322	1171	35088
323	1174	35081
324	1178	35076
325	1182	35098
326	1186	35108
327	1190	35102
328	1193	35091
329	1197	35084
330	1201	35092
331	1205	35090
332	1208	35094
333	1212	35087
334	1216	35091
335	1219	35085
336	1221	35014
337	1224	35011
338	1228	35008
339	1232	35005
340	1236	35032
341	1239	34991
342	1242	34983
343	1245	34969
344	1250	34985
345	1253	34980
346	1257	34978
347	1261	34976
348	1264	34977
349	1268	34970
350	1272	34973
351	1275	34961
352	1279	34969
353	1283	34972
354	1287	34982
355	1291	34985
356	1294	34979
357	1298	34973
358	1302	34988
359	1306	34982
360	1309	34970
361	1313	34970
362	1318	34990
363	1322	34997
364	1325	34991
365	1329	34982
366	1332	34976
367	1336	34976
368	1340	34982
369	1344	34982
370	1347	34985
371	1351	34978
372	1354	34967
373	1358	34960
374	1359	34886
375	1363	34902
376	1367	34914
377	1371	34914
378	1375	34907
379	1377	34862
380	1380	34862
381	1384	34859
382	1387	34851
383	1391	34840
384	1395	34845
385	1399	34856
386	1403	34861
387	1407	34861
388	1410	34856
389	1415	34883
390	1416	34812
391	1420	34809
392	1423	34805
393	1427	34797
394	1430	34793
395	1434	34800
396	1439	34808
397	1443	34814
398	1446	34816
399	1450	34812
400	1454	34811
401	1457	34809
402	1461	34804
403	1465	34806
404	1468	34795
405	1471	34782
406	1475	34781
407	1480	34795
408	1483	34794
409	1487	34802
410	1492	34809
411	1495	34812
412	1499	34809
413	1503	34816
414	1507	34819
415	1510	34808
416	1514	34804
417	1518	34810
418	1522	34808
419	1524	34763
420	1527	34754
421	1531	34754
422	1535	34756
423	1538	34756
424	1542	34754
425	1546	34749
426	1550	34752
427	1554	34760
428	1557	34758
429	1561	34750
430	1565	34746
431	1568	34740
432	1572	34734
433	1575	34735
434	1579	34730
435	1583	34743
436	1587	34747
437	1591	34745
438	1595	34752
439	1599	34747
440	1602	34741
441	1606	34733
442	1609	34720
443	1612	34698
444	1616	34712
445	1620	34713
446	1623	34706
447	1627	34710
448	1631	34709
449	1636	34721
450	1639	34716
451	1643	34706
452	1647	34710
453	1650	34704
454	1654	34703
455	1657	34699
456	1661	34691
457	1665	34691
458	1669	34695
459	1671	34663
460	1674	34655
461	1678	34650
462	1682	34655
463	1685	34640
464	1688	34632
465	1692	34633
466	1696	34633
467	1698	34603
468	1702	34598
469	1706	34597
470	1709	34590
471	1713	34588
472	1717	34591
473	1721	34592
474	1725	34591
475	1728	34590
476	1732	34589
477	1736	34589
478	1739	34579
479	1743	34574
480	1747	34574
481	1750	34568
482	1754	34570
483	1758	34569
484	1761	34567
485	1763	34516
486	1766	34510
487	1770	34512
488	1774	34508
489	1777	34501
490	1781	34500
491	1785	34507
492	1789	34510
493	1793	34508
494	1796	34503
495	1800	34500
496	1804	34494
497	1807	34482
498	1811	34486
499	1816	34507
500	1820	34512
501	1823	34508
502	1827	34499
503	1830	34494
504	1834	34489
505	1838	34487
506	1841	34484
507	1845	34485
508	1849	34479
509	1851	34460
510	1855	34453
511	1859	34451
512	1863	34458
513	1866	34450
514	1870	34449
515	1873	34440
516	1875	34393
517	1878	34389
518	1882	34393
519	1886	34393
520	1889	34384
521	1893	34379
522	1894	34335
523	1899	34342
524	1902	34340
525	1906	34338
526	1909	34331
527	1913	34335
528	1917	34329
529	1920	34324
530	1925	34332
531	1929	34334
532	1932	34330
533	1936	34325
534	1940	34321
535	1943	34322
536	1947	34322
