datetime,local,cuota_local,cuota_empate,cuota_visitante,visitante,fecha,hora
2023-10-14 15:54:19.485833,Atlético Nacional,2.625,3.35,2.75,Independiente Medellin,14 Oct,16:10
2023-10-14 15:54:19.556290,Millonarios,1.727,3.75,5.25,CD Junior,14 Oct,18:20
2023-10-14 15:54:19.616133,Rionegro Aguilas,1.727,3.75,5.25,Alianza Petrolera,15 Oct,14:00
2023-10-14 15:54:19.681392,Deportivo Cali,2.75,3.30,2.70,América de Cali,15 Oct,16:10
2023-10-14 15:54:19.739554,Tolima,2.00,3.65,3.80,Independiente Santa Fe,15 Oct,18:20
2023-10-14 15:54:19.796351,Atletico Huila,1.85,3.60,4.333,Envigado FC,16 Oct,16:05
2023-10-14 15:54:19.851382,Atletico Bucaramanga,2.00,3.50,3.95,Boyaca Chico FC,16 Oct,18:15
2023-10-14 15:54:19.906262,Millonarios,1.42,4.20,8.00,Union Magdalena,18 Oct,18:00
2023-10-14 15:58:56.665428,Atlético Nacional,2.625,3.35,2.75,Independiente Medellin,14 Oct,16:10
2023-10-14 15:58:56.726977,Millonarios,1.727,3.75,5.25,CD Junior,14 Oct,18:20
2023-10-14 15:58:56.784966,Rionegro Aguilas,1.727,3.75,5.25,Alianza Petrolera,15 Oct,14:00
2023-10-14 15:58:56.843613,Deportivo Cali,2.75,3.30,2.70,América de Cali,15 Oct,16:10
2023-10-14 15:58:56.899626,Tolima,2.00,3.65,3.80,Independiente Santa Fe,15 Oct,18:20
2023-10-14 15:58:56.955244,Atletico Huila,1.85,3.60,4.333,Envigado FC,16 Oct,16:05
2023-10-14 15:58:57.017945,Atletico Bucaramanga,2.00,3.50,3.95,Boyaca Chico FC,16 Oct,18:15
2023-10-14 15:58:57.073735,Millonarios,1.42,4.20,8.00,Union Magdalena,18 Oct,18:00
2023-10-18 23:51:55.465418,Envigado FC,3.20,3.25,2.40,Deportivo Cali,20 Oct,14:00
2023-10-18 23:51:55.562934,Jaguares De Córdoba,2.25,3.10,3.60,Deportivo Pasto,20 Oct,16:10
2023-10-18 23:51:55.632326,La Equidad,2.60,3.25,2.85,Rionegro Aguilas,20 Oct,18:20
2023-10-18 23:51:55.710626,Independiente Santa Fe,2.50,3.25,3.00,Millonarios,21 Oct,14:00
2023-10-18 23:51:55.773011,Union Magdalena,2.25,3.40,3.30,Atletico Bucaramanga,21 Oct,16:10
2023-10-18 23:51:55.841277,CD Junior,1.65,3.90,5.50,Once Caldas,21 Oct,18:20
2023-10-18 23:51:55.899766,Boyaca Chico FC,2.85,3.25,2.60,Atlético Nacional,22 Oct,14:00
2023-10-18 23:51:55.966088,Independiente Medellin,1.70,3.90,5.25,Deportivo Pereira,22 Oct,16:10
2023-10-18 23:51:56.021486,Alianza Petrolera,3.45,3.35,2.25,Tolima,22 Oct,18:20
2023-10-18 23:51:56.097921,América de Cali,1.42,5.00,7.50,Atletico Huila,23 Oct,18:00
2023-11-10 22:13:45.845498,Atlético Nacional,2.05,3.25,3.80,Millonarios,12 Nov,14:00
2023-11-10 22:13:46.049215,América de Cali,1.909,3.50,3.95,Independiente Medellin,12 Nov,16:30
2023-11-10 22:13:46.122460,Deportivo Cali,2.35,3.10,3.20,Rionegro Aguilas,13 Nov,14:00
2023-11-10 22:13:46.209108,Tolima,2.05,3.20,3.90,CD Junior,13 Nov,16:30
2023-11-10 22:36:39.748718,Atlético Nacional,2.05,3.25,3.80,Millonarios,12 Nov,14:00
2023-11-10 22:36:39.865657,América de Cali,1.909,3.50,3.95,Independiente Medellin,12 Nov,16:30
2023-11-10 22:36:40.036308,Deportivo Cali,2.35,3.10,3.20,Rionegro Aguilas,13 Nov,14:00
2023-11-10 22:36:40.110608,Tolima,2.05,3.20,3.90,CD Junior,13 Nov,16:30
2023-11-10 22:51:01.072862,Atlético Nacional,2.05,3.25,3.80,Millonarios,12 Nov,14:00
2023-11-10 22:51:01.194916,América de Cali,1.909,3.50,3.95,Independiente Medellin,12 Nov,16:30
2023-11-10 22:51:01.369658,Deportivo Cali,2.35,3.10,3.20,Rionegro Aguilas,13 Nov,14:00
2023-11-10 22:51:01.443526,Tolima,2.05,3.20,3.90,CD Junior,13 Nov,16:30
2023-11-11 00:20:22.343942,Atlético Nacional,2.05,3.25,3.80,Millonarios,12 Nov,14:00
2023-11-11 00:20:22.458853,América de Cali,1.909,3.50,3.95,Independiente Medellin,12 Nov,16:30
2023-11-11 00:20:22.623417,Deportivo Cali,2.35,3.10,3.20,Rionegro Aguilas,13 Nov,14:00
2023-11-11 00:20:22.704957,Tolima,2.05,3.20,3.90,CD Junior,13 Nov,16:30
2023-11-11 00:30:34.639214,Atlético Nacional,2.05,3.25,3.80,Millonarios,12 Nov,14:00
2023-11-11 00:30:35.091803,América de Cali,1.909,3.50,3.95,Independiente Medellin,12 Nov,16:30
2023-11-11 00:30:35.254282,Deportivo Cali,2.35,3.10,3.20,Rionegro Aguilas,13 Nov,14:00
2023-11-11 00:30:35.410218,Tolima,2.05,3.20,3.90,CD Junior,13 Nov,16:30
2023-11-11 00:35:15.115998,Atlético Nacional,2.05,3.25,3.80,Millonarios,12 Nov,14:00
2023-11-11 00:35:15.453575,América de Cali,1.909,3.50,3.95,Independiente Medellin,12 Nov,16:30
2023-11-11 00:35:15.610316,Deportivo Cali,2.35,3.10,3.20,Rionegro Aguilas,13 Nov,14:00
2023-11-11 00:35:15.765119,Tolima,2.05,3.20,3.90,CD Junior,13 Nov,16:30
2023-11-11 14:43:48.090138,Atlético Nacional,2.10,3.40,3.40,Millonarios,12 Nov,14:00
2023-11-11 14:43:48.156120,América de Cali,2.00,3.55,3.65,Independiente Medellin,12 Nov,16:30
2023-11-11 14:43:48.215429,Deportivo Cali,2.35,3.30,3.00,Rionegro Aguilas,13 Nov,14:00
2023-11-11 14:43:48.286994,Tolima,2.05,3.35,3.60,CD Junior,13 Nov,16:30
2023-11-11 15:22:14.933071,Atlético Nacional,2.10,3.40,3.40,Millonarios,12 Nov,14:00
2023-11-11 15:22:15.047785,América de Cali,2.00,3.55,3.65,Independiente Medellin,12 Nov,16:30
2023-11-11 15:22:15.217905,Deportivo Cali,2.35,3.30,3.00,Rionegro Aguilas,13 Nov,14:00
2023-11-11 15:22:15.301588,Tolima,2.05,3.35,3.60,CD Junior,13 Nov,16:30
2023-11-12 00:15:49.569000,Atlético Nacional,2.10,3.40,3.40,Millonarios,12 Nov,14:00
