year,torneo,fase,jornada,local,goles_local,goles_visitante,visitante,fecha,dia,arbitro,pos_local,pos_visitante,gana_local,empate,gana_visitante,result,gol_favor_local_local_6_matches,gol_favor_local_visit_6_matches,gol_favor_visit_local_6_matches,gol_favor_visit_visit_6_matches,gol_contra_local_local_6_matches,gol_contra_local_visit_6_matches,gol_contra_visit_local_6_matches,gol_contra_visit_visit_6_matches,vict_local_local_6_matches,vict_local_visit_6_matches,vict_visit_local_6_matches,vict_visit_visit_6_matches,emp_local_local_6_matches,emp_local_visit_6_matches,emp_visit_local_6_matches,emp_visit_visit_6_matches,los_local_local_6_matches,los_local_visit_6_matches,los_visit_local_6_matches,los_visit_visit_6_matches,vict_local_igual_6_dire_matches,emp_local_igual_6_dire_matches,los_local_igual_6_dire_matches,vict_local_dif_6_dire_matches,emp_local_dif_6_dire_matches,los_local_dif_6_dire_matches,gol_favor_local_local_3_matches,gol_favor_local_visit_3_matches,gol_favor_visit_local_3_matches,gol_favor_visit_visit_3_matches,gol_contra_local_local_3_matches,gol_contra_local_visit_3_matches,gol_contra_visit_local_3_matches,gol_contra_visit_visit_3_matches,vict_local_local_3_matches,vict_local_visit_3_matches,vict_visit_local_3_matches,vict_visit_visit_3_matches,emp_local_local_3_matches,emp_local_visit_3_matches,emp_visit_local_3_matches,emp_visit_visit_3_matches,los_local_local_3_matches,los_local_visit_3_matches,los_visit_local_3_matches,los_visit_visit_3_matches,vict_local_igual_3_dire_matches,emp_local_igual_3_dire_matches,los_local_igual_3_dire_matches,vict_local_dif_3_dire_matches,emp_local_dif_3_dire_matches,los_local_dif_3_dire_matches,cuota_local,cuota_empate,cuota_visitante
2024,liga-dimayor-apertura,todos contra todos,10,Envigado FC,,,Jaguares De Córdoba,2024-03-01,4,,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,3.4,3.9
2024,liga-dimayor-apertura,todos contra todos,10,Boyaca Chico FC,,,Tolima,2024-03-01,4,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.2,3.1
2024,liga-dimayor-apertura,todos contra todos,10,Deportivo Cali,,,Once Caldas,2024-03-01,4,,5,11,,,,,1.8333333333333333,1.0,0.8333333333333334,0.8333333333333334,1.1666666666666667,1.6666666666666667,0.6666666666666666,1.0,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,2.6666666666666665,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.05,3.45,3.85
2024,liga-dimayor-apertura,todos contra todos,10,Millonarios,,,La Equidad,2024-03-01,4,,13,2,,,,,1.5,0.5,,,0.8333333333333334,0.8333333333333334,,,0.5,0.3333333333333333,,,0.16666666666666666,0.16666666666666666,,,0.3333333333333333,0.5,,,,,,,,,0.3333333333333333,0.3333333333333333,,,1.0,1.0,,,0.3333333333333333,0.3333333333333333,,,0.0,0.0,,,0.6666666666666666,0.6666666666666666,,,,,,,,,1.85,3.35,5.0
2024,liga-dimayor-apertura,todos contra todos,10,Deportivo Pereira,,,América de Cali,2024-03-01,4,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,3.3,3.1
2024,liga-dimayor-apertura,todos contra todos,10,CD Junior,,,Atlético Nacional,2024-03-01,4,,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.45,4.0
2024,liga-dimayor-apertura,todos contra todos,10,Atletico Bucaramanga,,,Patriotas Boyaca,2024-03-01,4,,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,3.45,4.75
2024,liga-dimayor-apertura,todos contra todos,10,Independiente Medellin,,,Rionegro Aguilas,2024-03-01,4,,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,3.35,3.35
2024,liga-dimayor-apertura,todos contra todos,10,Alianza FC,,,Independiente Santa Fe,2024-03-01,4,,14,4,,,,,1.5,1.2,,,1.5,1.4,,,0.25,0.4,,,0.25,0.2,,,0.5,0.4,,,,,,,,,1.0,1.3333333333333333,,,1.0,1.0,,,0.3333333333333333,0.6666666666666666,,,0.0,0.0,,,0.6666666666666666,0.3333333333333333,,,,,,,,,3.75,3.5,2.05
2024,liga-dimayor-apertura,todos contra todos,10,Deportivo Pasto,,,Fortaleza FC,2024-03-01,4,,20,10,,,,,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.5,1.3333333333333333,1.0,1.0,1.1666666666666667,0.0,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.6666666666666667,1.0,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.3,3.2,3.4
